"id";"category_movie_id";"name";"releaseDate";"synopsis";"image";"video"
"1";"4";"Les gardiens de la galaxie 2";"2017-01-01";"Musicalement accompagné de la ""Awesome Mixtape n°2"" (la musique qu'écoute Star-Lord dans le film), Les Gardiens de la galaxie 2 poursuit les aventures de l'équipe alors qu'elle traverse les confins du cosmos. Les gardiens doivent combattre pour rester unis alors qu'ils découvrent les mystères de la filiation de Peter Quill. Les vieux ennemis vont devenir de nouveaux alliés et des personnages bien connus des fans de comics vont venir aider nos héros et continuer à étendre l'univers Marvel.";"8e53fe11b542fcad0c7f6c71ba9b8ff0.jpeg";"0b5782bfaa2d838687692abca1b77ebb.mp4"
"3";"1";"Doctor strange";"2016-01-01";"Doctor Strange suit l'histoire du Docteur Stephen Strange, talentueux neurochirurgien qui, après un tragique accident de voiture, doit mettre son égo de côté et apprendre les secrets d'un monde caché de mysticisme et de dimensions alternatives. Basé à New York, dans le quartier de Greenwich Village, Doctor Strange doit jouer les intermédiaires entre le monde réel et ce qui se trouve au-delà, en utlisant un vaste éventail d'aptitudes métaphysiques et d'artefacts pour protéger le Marvel Cinematic Universe.";"be202005dc26b4febad02ce9a3474e63.jpeg";"ca984009e458fec9d53eba394b930f32.mp4"
"4";"5";"Coco";"2017-01-01";"Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz. 
Bien décidé à prouver son talent, Miguel, par un étrange concours de circonstances, se retrouve propulsé dans un endroit aussi étonnant que coloré : le Pays des Morts. Là, il se lie d’amitié avec Hector, un gentil garçon mais un peu filou sur les bords. Ensemble, ils vont accomplir un voyage extraordinaire qui leur révèlera la véritable histoire qui se cache derrière celle de la famille de Miguel…";"3d10dbfb0bb397d7817661de63d428ea.jpeg";"5d39056386daa3dcc0bb30e27e293685.mp4"
"5";"1";"Avengers infinity wars";"2018-01-01";"Les Avengers et leurs alliés devront être prêts à tout sacrifier pour neutraliser le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l’univers.";"c3e6b76cca200049391058fe5e58174e.jpeg";"c7ab11c9c33746f4c5e83140e49b6f4b.mp4"
"6";"1";"Dunkerque";"2017-01-01";"Le récit de la fameuse évacuation des troupes alliées de Dunkerque en mai 1940.";"0c44272ea29091ed76077672b1312125.jpeg";"2389c8b0f23f4728a30324c4578227aa.mp4"
"7";"5";"Le labyrinthe 3";"2018-01-01";"Dans ce dernier volet de l’épopée LE LABYRINTHE, Thomas et les Blocards s’engagent dans une ultime mission, plus dangereuse que jamais. Afin de sauver leurs amis, ils devront pénétrer dans la légendaire et sinueuse Dernière Ville contrôlée par la terrible organisation WICKED. Une cité qui pourrait s’avérer être le plus redoutable des labyrinthes. Seuls les Blocards qui parviendront à en sortir vivants auront une chance d’obtenir les réponses tant recherchées depuis leur réveil au cœur du Labyrinthe.";"01b1bb6caea5c1f7c05317b06eec7af8.jpeg";"0b2fb7f3a4553d3efa16ac8b01d83c30.mp4"
"8";"4";"La planète des singes";"2017-01-01";"Dans ce volet final de la trilogie, César, à la tête des Singes, doit défendre les siens contre une armée humaine prônant leur destruction. L’issue du combat déterminera non seulement le destin de chaque espèce, mais aussi l’avenir de la planète.";"0e258bcecf248adbf2eb9468a7ce675f.jpeg";"7700ebe8fd73b051d864d7898f555c4c.mp4"
"9";"1";"Spiderman homecoming";"2017-01-01";"Après ses spectaculaires débuts dans Captain America : Civil War, le jeune Peter Parker découvre peu à peu sa nouvelle identité, celle de Spider-Man, le super-héros lanceur de toile. Galvanisé par son expérience avec les Avengers, Peter rentre chez lui auprès de sa tante May, sous l’œil attentif de son nouveau mentor, Tony Stark. Il s’efforce de reprendre sa vie d’avant, mais au fond de lui, Peter rêve de se prouver qu’il est plus que le sympathique super héros du quartier. L’apparition d’un nouvel ennemi, le Vautour, va mettre en danger tout ce qui compte pour lui...";"06ff56a3394bd02e4d846435b77b1fc3.jpeg";"a15af03ce0fe9d23e31c2c66aa10bcaf.mp4"
"10";"1";"Tomb raider";"2018-01-01";"Lara Croft, 21 ans, n'a ni projet, ni ambition : fille d'un explorateur excentrique porté disparu depuis sept ans, cette jeune femme rebelle et indépendante refuse de reprendre l'empire de son père. Convaincue qu'il n'est pas mort, elle met le cap sur la destination où son père a été vu pour la dernière fois : la tombe légendaire d'une île mythique au large du Japon. Mais le voyage se révèle des plus périlleux et il lui faudra affronter d'innombrables ennemis et repousser ses propres limites pour devenir ""Tomb Raider""…";"bbc7e0e481caa19949b9c0cc7e4993b0.jpeg";"ff0d7be3e39cc0161b381d10fa715c5c.mp4"
"11";"1";"Wonder woman";"2017-01-01";"C'était avant qu'elle ne devienne Wonder Woman, à l'époque où elle était encore Diana, princesse des Amazones et combattante invincible. Un jour, un pilote américain s'écrase sur l'île paradisiaque où elle vit, à l'abri des fracas du monde. Lorsqu'il lui raconte qu'une guerre terrible fait rage à l'autre bout de la planète, Diana quitte son havre de paix, convaincue qu'elle doit enrayer la menace. En s'alliant aux hommes dans un combat destiné à mettre fin à la guerre, Diana découvrira toute l'étendue de ses pouvoirs… et son véritable destin.";"b03d83cc7ac9b718b06747a684806616.jpeg";"fadd167f29501db0e46945b5c3bf058e.mp4"
